positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.03,0.057,0.701,33,2,9,14,8
0.03,0.035,0.615,25,1,5,16,3
0.074,0.056,0.732,334,46,117,131,40
0.117,0.078,0.703,215,40,56,83,36
0.072,0.043,0.721,564,50,198,242,74
0.104,0.029,0.555,48,14,12,17,5
0.095,0.065,0.731,46,10,16,15,5
0.112,0.026,0.724,29,5,9,8,7
0.014,0.021,0.279,35,1,4,28,2
0.015,0.03,0.595,25,1,4,17,3
0.0,0.0,0.0,40,1,0,39,0
0.088,0.063,0.627,981,165,239,453,124
0.004,0.0,0.117,33,2,1,29,1
0.051,0.05,0.709,126,15,31,66,14
0.067,0.045,0.76,491,82,130,214,65
0.071,0.05,0.651,342,42,95,167,38
0.046,0.046,0.742,30,5,10,10,5
0.0,0.0,0.003,385,26,14,345,0
0.08,0.043,0.717,282,32,104,108,38
0.039,0.016,0.549,38,4,6,22,6
0.06,0.091,0.577,44,8,8,23,5
0.068,0.047,0.677,24,4,8,10,2
0.0,0.0,0.03,33,1,0,32,0
0.095,0.033,0.783,79,7,26,29,17
0.081,0.048,0.695,34,2,16,9,7
0.003,0.0,0.247,36,2,4,27,3
0.057,0.083,0.818,24,3,12,4,5
0.038,0.034,0.853,119,15,27,72,5
0.069,0.064,0.766,130,11,55,49,15
0.062,0.062,0.734,64,8,14,28,14
0.06,0.056,0.749,818,101,274,307,136
0.088,0.057,0.749,123,18,42,48,15
0.117,0.07,0.733,50,5,17,21,7
0.089,0.048,0.711,225,26,82,76,41
0.079,0.097,0.713,27,1,8,16,2
0.06,0.049,0.804,23,1,9,8,5
0.063,0.021,0.699,83,9,25,37,12
0.077,0.06,0.726,110,8,38,46,18
0.073,0.043,0.762,441,65,135,195,46
0.091,0.033,0.645,69,5,24,32,8
0.112,0.058,0.749,86,12,25,37,12
0.074,0.029,0.754,56,11,14,24,7
0.07,0.045,0.733,282,33,89,110,50
0.07,0.035,0.535,25,7,5,12,1
0.036,0.0,0.307,73,8,6,58,1
0.074,0.078,0.711,51,12,17,15,7
0.043,0.04,0.657,50,9,12,26,3
0.03,0.013,0.331,118,12,14,88,4
0.074,0.043,0.633,32,4,10,9,9
0.083,0.076,0.785,36,7,9,14,6
0.093,0.069,0.742,31,4,11,12,4
0.063,0.058,0.663,255,26,79,130,20
0.061,0.078,0.728,196,35,36,105,20
0.075,0.062,0.718,864,95,305,361,103
0.064,0.04,0.694,94,17,25,34,18
0.067,0.031,0.656,130,33,32,65,0
0.034,0.006,0.869,22,0,7,12,3
0.098,0.058,0.727,334,45,110,129,50
0.071,0.04,0.769,490,91,117,226,56
0.072,0.056,0.807,92,13,29,39,11
0.04,0.04,0.739,22,4,6,10,2
0.077,0.074,0.747,88,16,26,21,25
0.081,0.053,0.758,138,15,50,53,20
0.131,0.019,0.675,40,8,8,16,8
0.113,0.231,0.606,20,6,2,11,1
0.06,0.079,0.707,52,6,15,21,10
0.074,0.059,0.639,175,24,57,69,25
